"geographicAreaM49","timePointYears","aquaEnergyDemand","aquaProteinDemand"
50,"2000",7892343276,181263.1002
50,"2001",8392913884.8,191343.73256
50,"2002",9855046393.8,222188.46638
50,"2003",10857504342,243259.17586
50,"2004",11426494640,256637.0016
50,"2005",11184598618.8,253431.4239
50,"2006",11838218456.6,267328.79302
50,"2007",12147620276.9,274092.51108
50,"2008",13585211664.1286,304468.593234907
50,"2009",16398712386.9076,361152.996104068
50,"2010",19524713520.5,417202.99775
50,"2011",23036492367.2063,512013.55128708
50,"2012",27063461345.4456,590617.888793823
50,"2013",29622092947.3703,656616.184903942
51,"1990",25496553.9551802,591.563553582806
51,"1991",19250985.9296187,458.931014185959
51,"1992",19725298.5975662,458.780190530166
51,"1993",19736972.5521451,459.556326099052
51,"1994",14178832.9483432,327.13647901437
51,"1995",12576300,311.86
51,"1996",9618528,242.6336
51,"1997",9885780,246.476
51,"1998",8057304,209.3088
51,"1999",14643508,363.9576
51,"2000",14086826,347.2012
51,"2001",19123681.2,453.97064
51,"2002",15370092.4,361.31928
51,"2003",16035032,376.7644
51,"2004",12849808,306.0736
51,"2005",11536480,275.952
51,"2006",16507726.4,391.72608
51,"2007",61603086,1572.3092
51,"2008",85543069.9922834,2192.67158143201
51,"2009",86602822.4516918,2225.56129547222
51,"2010",82419600,2112.92
51,"2011",101148251.305843,2581.61304460243
51,"2012",135975806.762958,3441.74731450755
51,"2013",181126608.719973,4599.06813163415
56,"1990",13791676.495667,387.017087422026
56,"1991",13951651.1702835,388.98256115683
56,"1992",13872948.7856828,386.118299256633
56,"1993",13799301.4287232,383.424385631025
56,"1994",13730841.1017187,380.903979378431
56,"1995",13668360,379.432
56,"1996",16228032,447.8384
56,"1997",13486704,372.6048
56,"1998",13559316,372.9012
56,"1999",30619631.6,742.7502
56,"2000",37196070,872.799
56,"2001",35334144,841.5558
56,"2002",30630744,702.0953
56,"2003",20920940,466.906
56,"2004",11762230,261.113
56,"2005",6391600,145.024
56,"2006",1522520,40.712
56,"2007",1532040,40.936
56,"2008",1027646.72590866,27.409266121396
56,"2009",3124581.89009393,76.7385544412549
56,"2010",1873850,46.894
56,"2011",1699164.1147082,45.6343308501577
56,"2012",1657568,39.0016
56,"2013",3394371.66053401,91.9765224144701
64,"1990",-4.75931443432417e-11,-1.11983869042922e-15
64,"1991",9519.99999999994,0.223999999999999
64,"1992",19039.9999999999,0.447999999999999
64,"1993",24480,0.575999999999999
64,"1994",32640,0.767999999999999
64,"1995",40800,0.96
64,"1996",48960,1.152
64,"1997",57120,1.344
64,"1998",65280,1.536
64,"1999",73440,1.728
64,"2000",81600,1.92
64,"2001",89760,2.112
64,"2002",97920,2.304
64,"2003",106080,2.496
64,"2004",315740,8.148
64,"2005",323900,8.34
64,"2006",332060,8.532
64,"2007",340220,8.724
64,"2008",660001.383855841,15.0707841012175
64,"2009",665606.472063903,15.1863883108482
64,"2010",652935,14.956
64,"2011",940741.567850152,21.0715350594203
64,"2012",983474.736958918,20.4595247861227
64,"2013",867066.097252842,18.1912482760023
68,"1990",3728049.4852025,100.376572371961
68,"1991",4019783.95214384,108.316664742638
68,"1992",5446594.21598632,150.130447681129
68,"1993",13958480.9443717,381.910079343424
68,"1994",13345752.5358672,364.981776446479
68,"1995",13340040,365.228
68,"1996",8036910,220.335
68,"1997",7737360,210.336
68,"1998",7788071,210.5635
68,"1999",8035078,216.843
68,"2000",7686535,207.3445
68,"2001",5968880,160.9036
68,"2002",7740497,208.3257
68,"2003",6790165.2,182.48252
68,"2004",7987298,217.4878
68,"2005",7631880,207.288
68,"2006",6588575,175.7255
