AreaCode,ElementCode,ItemCode,Year,Value
10,5110,6655,1991,417100
10,5110,6655,1992,418800
10,5110,6655,1993,413800
10,5110,6655,1994,421600
10,5110,6655,1995,423048
10,5110,6655,1996,428721
10,5110,6655,1997,422100
10,5110,6655,1998,419486
10,5110,6655,1999,407929
10,5110,6655,2000,407900
10,5110,6655,2001,405573
10,5110,6655,2002,398876
10,5110,6655,2003,392125
10,5110,6655,2004,392030
10,5110,6655,2005,395407
10,5110,6655,2006,386860
10,5110,6655,2007,380919
10,5110,6655,2008,372914
10,5110,6655,2009,363018
10,5110,6655,2010,355612
10,5110,6655,2011,361594.6
10,5110,6655,2012,357981
10,5110,6655,2013,350004.3
10,5110,6655,2014,358962
11,5110,6655,1990,1518.9
11,5110,6655,1991,1512.9
11,5110,6655,1992,1507
11,5110,6655,1993,1501
11,5110,6655,1994,1495.1
11,5110,6655,1995,1489.1
11,5110,6655,1996,1487.3
11,5110,6655,1997,1485.6
11,5110,6655,1998,1483.9
11,5110,6655,1999,1482.2
11,5110,6655,2000,1470.2
11,5110,6655,2001,1458.1
11,5110,6655,2002,1446.2
11,5110,6655,2003,1434.2
11,5110,6655,2004,1422.1
11,5110,6655,2005,1410.1
11,5110,6655,2006,1398.1
11,5110,6655,2007,1386.1
11,5110,6655,2008,1374.1
11,5110,6655,2009,1362.1
11,5110,6655,2010,1350.1
11,5110,6655,2011,1332.4
11,5110,6655,2012,1314.8
11,5110,6655,2013,1297.1
11,5110,6655,2014,1297.1
12,5110,6655,1990,2
12,5110,6655,1991,2
12,5110,6655,1992,2
12,5110,6655,1993,2
12,5110,6655,1994,2
12,5110,6655,1995,2
12,5110,6655,1996,2
12,5110,6655,1997,2
12,5110,6655,1998,2
12,5110,6655,1999,2
12,5110,6655,2000,2
12,5110,6655,2001,2
12,5110,6655,2002,2
12,5110,6655,2003,2
12,5110,6655,2004,2
12,5110,6655,2005,2
12,5110,6655,2006,2
12,5110,6655,2007,2
12,5110,6655,2008,2
12,5110,6655,2009,2
12,5110,6655,2010,2
12,5110,6655,2011,2
12,5110,6655,2012,2
12,5110,6655,2013,2
12,5110,6655,2014,2
13,5110,6655,1990,4
13,5110,6655,1991,4
13,5110,6655,1992,4
13,5110,6655,1993,4
13,5110,6655,1994,4
13,5110,6655,1995,4
13,5110,6655,1996,4
13,5110,6655,1997,4
13,5110,6655,1998,4
13,5110,6655,1999,4
13,5110,6655,2000,4
13,5110,6655,2001,4
13,5110,6655,2002,4
13,5110,6655,2003,4
13,5110,6655,2004,4
13,5110,6655,2005,4
13,5110,6655,2006,4
13,5110,6655,2007,4
13,5110,6655,2008,4
13,5110,6655,2009,4
13,5110,6655,2010,4
13,5110,6655,2011,4
13,5110,6655,2012,4
13,5110,6655,2013,4
13,5110,6655,2014,4
14,5110,6655,1990,2
14,5110,6655,1991,2
14,5110,6655,1992,2
14,5110,6655,1993,2
14,5110,6655,1994,2
14,5110,6655,1995,2
14,5110,6655,1996,2
14,5110,6655,1997,2
14,5110,6655,1998,2
14,5110,6655,1999,2
14,5110,6655,2000,2
14,5110,6655,2001,2
14,5110,6655,2002,2
14,5110,6655,2003,2
14,5110,6655,2004,2
14,5110,6655,2005,2
14,5110,6655,2006,2
14,5110,6655,2007,2
14,5110,6655,2008,2
14,5110,6655,2009,2
14,5110,6655,2010,2
14,5110,6655,2011,2
14,5110,6655,2012,2
14,5110,6655,2013,2
14,5110,6655,2014,2
15,5110,6655,1990,662
15,5110,6655,1991,647
15,5110,6655,1992,622
15,5110,6655,1993,624
15,5110,6655,1994,534
15,5110,6655,1995,603
15,5110,6655,1996,621
15,5110,6655,1997,621
15,5110,6655,1998,625
15,5110,6655,1999,628
16,5110,6655,1990,600
16,5110,6655,1991,600
16,5110,6655,1992,600
16,5110,6655,1993,600
16,5110,6655,1994,600
16,5110,6655,1995,600
16,5110,6655,1996,600
16,5110,6655,1997,600
16,5110,6655,1998,600
16,5110,6655,1999,600
16,5110,6655,2000,600
16,5110,6655,2001,600
16,5110,6655,2002,600
16,5110,6655,2003,600
16,5110,6655,2004,600
16,5110,6655,2005,600
16,5110,6655,2006,600
16,5110,6655,2007,600
16,5110,6655,2008,600
16,5110,6655,2009,600
16,5110,6655,2010,600
16,5110,6655,2011,600
16,5110,6655,2012,600
