"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Argentina","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5.53","","0","."
"Argentina","Marine areas","Marine","Molluscs","Molluscs","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4","","30","","30","","75","","80","","184","","201","","142","","154","","235","F","231","F","223","F","368","F","90","","41.17","","12.8","","25",""
"Armenia","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","","3","","3","F","3","F","12","","21","","20","F","20","F","20","F","30","F","30","","30","","30","F"
"Armenia","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","413","","394","","340","","350","","235","","350","","296","","305","","308","","445","","439","","465","","347","","359","","320","","296","F","400","F","2305","","3526","","3860","F","3650","F","4630","F","6436","","8610","","10642","","12495",""
"Armenia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","4644","","2243","","2225","","1900","","1335","","770","","354","","365","","129","","444","","454","","866","","673","","685","","490","","440","F","653","F","1333","F","1553","F","1360","F","1330","F","1650","F","2384","F","3060","","3253","","2605","F"
"Aruba","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","","0",".","0","-","0","-","0","-"
"Australia","Inland waters","Freshwater","Crustaceans","Crustaceans","109","","135","","171","","209","","392","","336","","249","","304","","349","","372","","409","","423","","305","","564","","273","","296","","260","","299","","231","","203.9","","192.8","","182","","144.3","","140.9","","130.6","","143.3",""
"Australia","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","1207","","1327","","1827","","1624","","1754","","1742","","1895","","2092","","2118","","1646","","1887","","1948","","1865","","18","","40","","284","","249","","49","","13.3","","11.7","","7.5","","11","","4.2","","4.3","","2.7","","5.7",""
"Australia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","12","","70","","44","","62","","35","","29","","42","","211","","212","","312","","323","","317","","442","","602","","574","","522","","546","","616","","481.9","","905.6","","903.6","","731.5","","708.4","","824.5","","842.9","","907.6",""
"Australia","Marine areas","Brackishwater","Crustaceans","Crustaceans","594","","189","","908","","1123","","1530","","1652","","1632","","1437","","1437","","2473","","2909","","2820","","3757","","3365","","3723","","3258","","3541","","3284","","3088","","3985","","5280","","3970","","4021.1","","3741.7","","3774","","5282.4",""
"Australia","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","79","F","247","","345","","419","","577","","458","","797","","802","","998","","882","","869","","969","","1194","","1782","","1525","","1783","","2257","","2773","","3466.8","","2966","","3628","","4415.5","","4545.4","","3559.5","","3439.8","","3771.6",""
"Australia","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","94","","48","","114","","0","-","0","-","157","","1490","","1405","","2491","","2428","","2137","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Australia","Marine areas","Brackishwater","Molluscs","Molluscs","37","","46","","33","","30","","35","","0","0","35","","26","","26","","27","","0","0","0","0","116","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Australia","Marine areas","Marine","Crustaceans","Crustaceans","0","0","624","","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4.5","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Australia","Marine areas","Marine","Diadromous fishes","Diadromous fishes","2500","","3089","","3700","","3900","","4000","","6192","","7647","","7648","","7069","","9195","","10907","","12724","","14356","","15208","","16476","","16780","","20710","","25336","","25736.9","","29893","","31807","","36662","","43982","","42776","","41590.7","","48330.3",""
"Australia","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","335","","636","","1275","","1927","","2013","","2184","","1699","","1602","","2731","","4075","","4009","","2414","","4558","","2240","","3638","","2139","","6605.6","","7290.1","","11575.1","","9620.9","","8750.9","","8533.7","","8279.7","","9786",""
"Australia","Marine areas","Marine","Miscellaneous aquatic animals","Miscellaneous aquatic animals","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1116","","1892.4","","1550.3","","1851.6","","3149","","2840.7","","3644.6","","1354.2","","5592.7",""
"Australia","Marine areas","Marine","Molluscs","Molluscs","7863","","8600","","9059","","10356","","9531","","10059","","11013","","11839","","10662","","12680","","11711","","12127","","12365","","13350","","15568","","15133","","15747","","18050","","17391.3","","18279.5","","20381.3","","17533.56","","16835.7","","16838.3","","15498.9","","17216.5",""
"Austria","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","1","","1","","1","","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Austria","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","2076","","2105","","2030","","2110","","2113","","2058","","2139","","2407","","2303","","2404","","2184","","1971","","2000","","1870","","1936","","2076","","2032","","2041","","1598","","1669","","1641","","2064","","2210","","2258","","2397.2","","2385.9",""
