"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Ecuador","Marine areas","Brackishwater","Crustaceans","Crustaceans","76420","","105238","","113137","","83404","","88731","","105597","","107920","","132709","","144000","","119700","","50110","","45269","F","63600","","77400","","89600","","118500","","149200","","150000","F","150000","F","179100","","223313","","260000","F","281100","","304000","","340000","F","403000",""
"Ecuador","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2372","","1894","","1894","F","1894","F","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","5","F","5",""
"Ecuador","Marine areas","Marine","Molluscs","Molluscs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2.34","","0","-","0","-","0","-","0",".","3.4",""
"Egypt","Inland waters","Brackishwater","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","9","","90","","0","0","0","0","3298","","313","","87","","131","","200","","792","","766","","1109","","5856","","7235","","12",""
"Egypt","Inland waters","Brackishwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","0","0","0","0","0","0","0","0","30","","9","","2","","6","","3","","0",".","0",".","0",".","0","."
"Egypt","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","26000","","25300","","25300","","20228","","25000","","31660","","43609","","56146","","88220","","142426","","204150","","201949","","214664","","254950","","264921","","331505","","293284","","339221","","433379","","433680","","611678","F","672237","F","747365","F","731254","","770759","F","831455","F"
"Egypt","Inland waters","Brackishwater","Marine fishes","Marine fishes","6000","","8740","","9700","","8720","","9716","","16342","","22535","","20521","","35677","","48445","","99423","","98818","","115928","","139822","","136928","","165031","","213244","","227022","","161463","","163999","","132570","","127877","F","136476","F","121806","F","130664","F","155062","F"
"Egypt","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","3","","3","","1","","0",".","1","","1","","4","","4","F"
"Egypt","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","29916","","27577","","28895","","22262","","21887","","23813","","24993","","9037","","15492","","35405","","36520","","42087","","45613","","50409","","69686","","39914","","69009","","41868","","40080","","48631","","147438","F","155837","F","102687","F","212527","F","201429","F","146119","F"
"Egypt","Inland waters","Freshwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","19180","","27288","","58750","","58975","","27100","","30100","F","30100","F","26100","F","27000","F","42179","F"
"El Salvador","Inland waters","Freshwater","Crustaceans","Crustaceans","4","","7","","8","","9","","9","","10","","21","","14","","16","","17","","9","","3","","4","","4","","4","","8","","3","","6","","6","F","3.57","","3.69","","4","F","5","F","5","F","1","","0.71","F"
"El Salvador","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","4","","17","","39","","106","","160","","201","","95","","140","","283","","147","","56","","29","","405","","654","","1780","","1955","","2739","","3563","","3600","F","3958.6","","4090","","4101","","4100","F","2484","","832","","5639",""
"El Salvador","Marine areas","Brackishwater","Crustaceans","Crustaceans","140","","93","","195","","144","","515","","244","","205","","217","","85","F","97","","191","","351","","361","","469","","426","","240","","336","","159","","200","F","381.54","","394.24","","766.7","","1200","F","771","","812","","1084","F"
"El Salvador","Marine areas","Brackishwater","Marine fishes","Marine fishes","484","","0",".","297","","369","","640","","63","","37","","13","","15","","18","","5","","12","","11","","4","","9","","0","-","0","-","1","","0",".","0",".","0",".","0",".","0",".","1","F","1","F","2","F"
"El Salvador","Marine areas","Marine","Molluscs","Molluscs","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","11","F","12","F","12","F","12","F","17","F","17","F","17","F","17","F"
"Equatorial Guinea","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","2","F","2","F","3","F","15","","17","","15","F","15","F","15","F","15","F"
"Eritrea","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","30","F","40","F","40","F","10","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eritrea","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","2","F","2","F","2","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Estonia","Inland waters","Freshwater","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","2","","1","","3","","2","","2","","0.4","","0.57","","0.098","","0.444","","0.23","","0.6",""
"Estonia","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","464","","647","","299","","131","","125","","135","","211","","227","","237","","170","","178","","413","","215","","319","","201","","506","","619","","739","","738","","602.5","","531.3","","348.9","","455.3","","465.49","","699.7","","615.5",""
"Estonia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","385","","420","","234","","33","","136","","30","","61","","33","","23","","30","","47","","54","","42","","52","","50","","47","","83","","30","","73","","49.1","","41.34","","38.87","","126","","267.28","","173.645","","182.6",""
"Estonia","Marine areas","Marine","Diadromous fishes","Diadromous fishes","87","","270","","160","","166","","156","","150","","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Ethiopia","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0.3","","0.5","","0.5",""
"Ethiopia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","36","F","36","F","22","F","28","F","33","F","55","","38","F","24","F","14","F","15","F","15","F","15","F","15","F","15","F","25","F","25","F","25","F","25","F","25","F","25","F","25","F","25","F","38","","45","","85","","90",""
"Falkland Is.(Malvinas)","Marine areas","Marine","Molluscs","Molluscs","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","21","","2","","2","","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Faroe Islands","Marine areas","Marine","Diadromous fishes","Diadromous fishes","13076","","18283","","19098","","18752","","15332","","8611","","17584","","22538","","20436","","42544","","34823","","49167","","56102","","62746","","46077","","23455","","18574","","30699","","46673","","59295","","47575","","60473","","76564","","75909","","86454","","80600","F"
"Fiji, Republic of","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","1","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Fiji, Republic of","Inland waters","Freshwater","Crustaceans","Crustaceans","2","","4","","6","","85","","87","F","91","","93","","40","","20","","2","","5","","5","","8","","10","","5","","5","F","2","","24","","25","","20","","17","","19","","15","F","15","F","15","F","15","F"
"Fiji, Republic of","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","14","","20","","72","","70","F","70","F","72","F","122","","245","","243","","301","","312","","254","","393","","133","","82","","82","F","400","","143","","192","","200","","190","","165","","150","F","150","F","170","F","170","F"
"Fiji, Republic of","Marine areas","Brackishwater","Crustaceans","Crustaceans","7","F","5","F","10","","10","","10","F","17","","20","","60","","35","","39","","45","","41","","0","-","1","","12","","12","F","26","","13","","11","","10","F","0.5","","2","","2","F","2","F","9","F","9","F"
"Fiji, Republic of","Marine areas","Marine","Aquatic plants","Aquatic plants","6300","","3450","","2400","","1650","","0",".","0",".","0",".","0",".","2100","","15090","","5200","","3200","","800","","250","","450","","450","","1190","","650","","660","","440","","560","","450","","560","F","470","F","550","F","550","F"
"Fiji, Republic of","Marine areas","Marine","Miscellaneous aquatic animal products","Miscellaneous aquatic animal products","30","","14","","10.9","","17.034","","17","F","20","F","20","F","20","F","10","","12.02","","12","F","10","F","5","F","0","0","12.5","","12.5","F","0",".","0",".","0",".","0.026","","0","-","10","","0",".","0",".","0",".","0","."
"Fiji, Republic of","Marine areas","Marine","Molluscs","Molluscs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1416","","1416","","1416","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Finland","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","5297","","4071","","3200","","3823","","3331","","3387","","2895","","3378","","2737","","2643","","2077","","2500","","2934","","2097","","1798","","2197","","2120","","2173","","2087","","2421","","1868","","1847","","2124","","2030","","1805","","2401",""
"Finland","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","72","","2","","36","","5","","32","","35","","57","","41","","18","","36","","44","","49","","38","","26","","54","","37","","26","","56","","72","","92","","58","","83","","87","","103","","157","","105",""
"Finland","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","13181","","15198","","14673","","13687","","13315","","13882","","14707","","12998","","13248","","12758","","13279","","13190","","12160","","10435","","10969","","12121","","10745","","10796","","11280","","11086","","9846","","9345","","10448","","11480","","11503","","12371",""
"Finland","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0","0","0","0","11","","4","","41","","0","-","9","","21","","12","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","28","","0",".","0","-","0","-","0","-","0",".","0","."
"France","Inland waters","Brackishwater","Diadromous fishes","Diadromous fishes","400","","400","","400","","400","","400","","60","","40","","40","","6","","6","","6","","0","0","0",".","0",".","0",".","0",".","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"France","Inland waters","Freshwater","Crustaceans","Crustaceans","5","","5","","10","","15","","15","","20","","20","","20","","19","","18","","18","","25","","20","","20","","20","","20","","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"France","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","38420","","39235","","42930","","47560","","49620","","50740","","53172","","53352","","47260","","40911","","43473","","48807","","47448","","41460","","37210","","34307","","33136","","33366","","35475.4","","33956","","36005","","33003","","32381","","32512.9","","35700","F","38200","F"
"France","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","7580","","7620","","8520","","8550","","8700","","8710","","10103","","11665","","10746","","11601","","10715","","10323","","9930","","9040","","8012","","8012","","8012","","8000","","8000","","8000","","8000","F","8000","","8000","F","8000","F","7800","","7800","F"
"France","Inland waters","Freshwater","Marine fishes","Marine fishes","250","","250","","250","","250","","250","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"France","Marine areas","Brackishwater","Crustaceans","Crustaceans","6","","0","0","0","0","0","0","33","","13","","30","","24","","24","","24","","28","","20","","30","","41","","40","","38","","41","","40","","67.6","","90","","50","","44","","44","F","47","","40","F","40","F"
"France","Marine areas","Brackishwater","Marine fishes","Marine fishes","50","","50","","50","","50","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"France","Marine areas","Marine","Aquatic plants","Aquatic plants","6","F","53","F","52","F","70","F","87","","100","","62","","62","","60","","32","","32","","35","","38","","37","","37","","45","","32","","35","","52.6","","124.8","","440","","504","","504","","304","","300","F","300","F"
"France","Marine areas","Marine","Diadromous fishes","Diadromous fishes","990","","1141","","1130","","1014","","910","","1615","","1193","","1239","","650","","1379","","560","","504","","957","","724","","925","","1284","","1428","","1168","","1362.2","","9","","15","","40.2","","110","","0",".","300","F","300","F"
"France","Marine areas","Marine","Marine fishes","Marine fishes","295","","504","","700","","1759","","3841","","4363","","2728","","4441","","5535","","5321","","5141","","5111","","5986","","6024","","5913","","6749","","6000","","5972","","6598.6","","5800.3","","5652","F","6087.5","F","4946","F","5215.5","F","5690","F","5690","F"
"France","Marine areas","Marine","Molluscs","Molluscs","208651","","195836","","196212","","217655","","217098","","215165","","218178","","216400","","203550","","205565","","206829","","186830","","187349","","182255","","190010","","194470","","188726","","188870","","186692.2","","186019.9","","153240","","146432","","159563","","154516.7","","154470","F","154470","F"
"French Guiana","Inland waters","Freshwater","Crustaceans","Crustaceans","83","","83","","0","-","0","-","0","-","0","-","0","-","7","","18","","25","","25","","25","","15","","5","","5","","5","","5","","5","","5","","5","","1","F","1","F","1","F","0",".","0",".","0","."
"French Guiana","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","6","","6","","12","","23","","32","","32","","32","","32","","30","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F"
"French Polynesia","Inland waters","Freshwater","Crustaceans","Crustaceans","17","","15","","11","","8","","8","","6","","4","","4","","2","","0","0","1","","1","","1","","1","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"French Polynesia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","2","","0","0","1","","1","","1","","1","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"French Polynesia","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","39","","39","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"French Polynesia","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","7","","9","","1","","6","","5","","1","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"French Polynesia","Marine areas","Marine","Crustaceans","Crustaceans","61","","60","","56","","64","","61","","13","","14","","50","","48","","45","","40","","44","","45","","47","","60","","59","","49","","45","","44","","39","","39","","54.3","","70.7","","79.2","","89","","93",""
"French Polynesia","Marine areas","Marine","Diadromous fishes","Diadromous fishes","3","","3","","4","","5","","2","","3","","10","","2","","2","","3","","9","","15","","11","","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"French Polynesia","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","","0","0","1","","4","","1","","2","","3","","9","","9","","0","0","0",".","0",".","0",".","6.9","","10.3","","8.5","","12.8","","23",""
"French Polynesia","Marine areas","Marine","Miscellaneous aquatic animal products","Miscellaneous aquatic animal products","0",".","0",".","0",".","378.172","","544.96","","490.699","","529.38","","753.188","","565.001","","940.822","","758.667","","866.624","","1278.841","","1953.058","","1835.803","","2886.828","","2419.101","","2209.192","","1901.685","","1866.364","","2145.438","","2857.721","","2573.558","","2609.975","","1984.758","","1798.696",""
"French Polynesia","Marine areas","Marine","Molluscs","Molluscs","7","","2","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Gabon","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","2","F","3","F","5","F","8","","28","","39","","62","","57","","158","","558","","558","","102","","83","","80","","80","","78","","126","","124","","124","","126","","130","","130","","48","","46","","45","","45","F"
"Gambia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","4","","4","F","4","F","4","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","13","F","13","F","13","F","15","F","15","F"
"Gambia","Marine areas","Brackishwater","Crustaceans","Crustaceans","60","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","50","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Gambia","Marine areas","Brackishwater","Molluscs","Molluscs","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Georgia","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","10","","8","","15","","8","","5","","5","","4","","4","","5","","5","","6","","8","","3","","7","","15","","15","F","15","F","150","","72","F","75","F","75","F","130","F","130","F","130","F","180","F","180","F"
"Georgia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","597","","2652","","1030","","572","","223","","152","","97","","57","","91","","78","","80","","72","","49","","49","","57","","57","F","60","F","30","","394","F","395","F","395","F","520","F","520","F","520","F","470","F","470","F"
"Georgia","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","F","20","F"
"Germany","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","24060","","22500","","25800","","25400","","25000","","25000","","25000","","25000","","25000","","25000","","25150","","25150","","24311","","23406","","22363","","19673","","19799","","23822","","22644","","21592","","21525","","10866","","12436","","12892","","13574","","12030",""
"Germany","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","19480","","22100","","19935","","19200","","18800","","20000","","20000","","18000","","16700","","16500","","16500","","16500","","17373","","22221","","22189","","15343","","11729","","10451","","14329","","13615","","14170","","7339","","6881","","7259","","7078","","6924",""
"Germany","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","566","","15","","13","","150","","100","","50","","24","","28","","30","","27","","27","","26","","23","","19","","19","","21","","20","","20","","22","","14","","14","","26","","30","","22","","20","F","0","."
"Germany","Marine areas","Brackishwater","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0","2","","1","","7","","10","","40","","0",".","45","","25","","15","","15","","0","0","0","0","0","-","0",".","0",".","0",".","0",".","0","."
"Germany","Marine areas","Marine","Marine fishes","Marine fishes","1","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","0","-","58","","68","","60","","61","","0","0","0","0","0","-","0",".","0",".","0",".","0",".","0","."
"Germany","Marine areas","Marine","Molluscs","Molluscs","20328","","30077","","50906","","24750","","4952","","19046","","38213","","22405","","31288","","38039","","24207","","11723","","8103","","28634","","12559","","9555","","3756","","10625","","6982","","3686","","4985","","20910","","7013","","5116","","5360","","10955",""
"Ghana","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","360","F","410","F","430","F","465","F","500","F","550","F","550","F","400","","1800","","2900","","5000","","6000","","6000","F","938","","950","","1154","","2270","F","3820","F","5594","F","7154","F","10200","F","19092","F","27450","F","32513","F","38535","","44600",""
"Ghana","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","10","F"
"Greece","Inland waters","Freshwater","Aquatic plants","Aquatic plants","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","198","","174","","93","","126","","148",""
"Greece","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","1957","","1824","","2465","","2251","","2615","","1768","","2403","","2943","","2753","","2405","","2837","","3204","","2631","","2337","","2496","","2713","","3488","","3193","","3837","","2951","","3042","","2122.4","","2251.06","","2233","","1909.8","","2084.8",""
"Greece","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","330","","294","","281","","233","","212","","176","","226","","163","","150","","278","","124","","166","","135","","107","","108","","110","","144","","111","","132","","120","","128","","52.3","","40.88","","43.49","","30.5","","28","F"
"Greece","Inland waters","Freshwater","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","48","","62","","22","","27","","73","","28","","22","","21","","50","","35","","63","","31","","21","","17","","22","","22","","33","","24","","6.2","","1.7","","6.4","","6","F"
"Greece","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","7.4","","38","","22.3","","0",".","0","."
"Greece","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","251","","95","","70","","65","","50","","62","","47","","101","","85","","52","","110","","94","","81","","87","","87","","52","","79","","41.19","","33.82","","31.5","","36","F"
"Greece","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","47","","490","","213","","57","","421","","323","","332","","137","","352","","312","","317","","293","","305","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Greece","Marine areas","Brackishwater","Marine fishes","Marine fishes","1950","","1149","","1320","","1820","","0","-","474","","572","","556","","581","","643","","882","","818","","562","","668","","682","","642","","930","","678","","895","","724","","926","","911.9","","693.318","","857.58","","700.3","","651.5","F"
"Greece","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","5","","0","-","1","","5","","3","","0","-","0","-","0","-","4","","4","","0","-","7","","10","","4","","0",".","0",".","0",".","1.2","","0",".","0",".","0.1","","0","."
"Greece","Marine areas","Marine","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","42","","22","","21","","28","","40","","0","-","1","","0","0","1","","76","","1","","1","","8","","3","","0","-","0","-","1.7","","0",".","0",".","0",".","0","."
"Greece","Marine areas","Marine","Marine fishes","Marine fishes","1600","","3450","","7849","","11574","","13500","","18935","","25796","","33722","","41614","","59159","","66812","","66953","","62497","","72209","","64551","","76212","","80086","","86701","","88993","","95717","","99915","","90215.4","F","91116.19","","92075.59","","85157.2","","84483.4","F"
"Greece","Marine areas","Marine","Molluscs","Molluscs","3686","","5898","","8391","","16700","","16802","","10889","","10225","","11118","","14602","","21250","","24356","","25970","","21811","","25636","","28803","","26065","","28317","","22199","","21099","","22390","","17148","","17195.8","","16612.63","","18639.37","","16701.2","","18680.2",""
"Grenada","Inland waters","Freshwater","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","0","0","0","0","0","0","0","1","","3","","0","0","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Grenada","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","0","0","0","0","0","0","0","0","0","1","","0","0","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Guadeloupe","Inland waters","Freshwater","Crustaceans","Crustaceans","42","","44","","35","","40","","26","","30","","30","","20","","14","","20","","14","","14","","21","","27","","27","","8.661","","9.462","","11.824","","10.5","","6.5","","7","","6","","6","F","6","F","6","F","6","F"
"Guadeloupe","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","4","","4","","0",".","0",".","0",".","0.5","","0.9","","1","","4","","4","F","4","F","4","F","4","F"
"Guadeloupe","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1.7","","2.8","","3.4","","6.5","","0","-","3","","2","","2","F","2","F","15","F","15","F"
"Guam","Inland waters","Freshwater","Crustaceans","Crustaceans","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","F","0",".","0",".","0",".","0","0","0","-","0",".","0.5","","0","-","0","-","0","-","0","-","0","-","0","-"
"Guam","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","58","","35","","25","","25","","25","","25","F","25","F","25","F","25","F","28","F","30","F","30","F","80","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Guam","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","154","","139","","152","","166","","166","","166","F","168","F","168","F","168","F","170","F","170","F","170","F","120","F","110","F","110","F","110","F","110","","110","","110","F","88","","82","","70","","70","F","70","F","70","F","70","F"
"Guam","Marine areas","Brackishwater","Crustaceans","Crustaceans","0","0","1","","10","","20","","20","","20","F","22","F","22","F","22","F","25","F","25","F","25","F","25","F","10","F","10","F","10","F","12","","12","","12","F","12","","12","","11","","11","F","10","F","10","F","10","F"
"Guam","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","40","F","40","F","40","F","40","","40","","40","F","40","","35","","30","","30","F","30","F","30","F","30","F"
"Guam","Marine areas","Brackishwater","Marine fishes","Marine fishes","0","0","1","","0","0","0","0","4","","5","F","5","F","5","F","5","F","7","F","7","F","7","F","7","F","0",".","0",".","0",".","0",".","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Guatemala","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","353","","0","-","0","-","106","","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Guatemala","Inland waters","Freshwater","Crustaceans","Crustaceans","10","","7","","35","","32","","86","","108","","16","","88","","67","","48","","64","","49","F","27","F","27","F","8","F","8","F","0",".","0",".","0",".","0",".","20.8","","20","F","20","F","20","F","0",".","0","."
"Guatemala","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","167","","234","","578","","511","","661","","805","","1637","","2259","","1658","","2948","","1998","","2117","F","2117","F","2117","F","1000","F","2000","F","2865","","2900","F","3000","","3000","F","850.43","","5504","","5459","","5978","","9549.5","","13504",""
"Guatemala","Inland waters","Freshwater","Molluscs","Molluscs","0",".","0",".","2","","3","","4","","7","","8","","9","","11","","12","","10","","11","F","11","F","11","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Guatemala","Marine areas","Brackishwater","Crustaceans","Crustaceans","727","","590","","620","","2740","","3636","","2750","","1400","","2045","","1381","","1403","","1492","","2500","F","5400","","3768","","3900","","7000","F","13428","","13500","F","15727","","13623","","21921","","15944","","12264","","11049","","11212","","8545",""
