figisSpecies,aquaSpecies
Ningu,Miscellaneous Freshwater Fish
Noble crayfish,Miscellaneous Freshwater Fish
Northern pike,Miscellaneous Freshwater Fish
Olive barb,Miscellaneous Freshwater Fish
Orangefin labeo,Miscellaneous Freshwater Fish
Orfe(=Ide),Miscellaneous Freshwater Fish
Pacific fat sleeper,Miscellaneous Freshwater Fish
Pacu,Miscellaneous Freshwater Fish
Parachanna snakeheads nei,Miscellaneous Freshwater Fish
Peled,Miscellaneous Freshwater Fish
Pike-perch,Miscellaneous Freshwater Fish
Pirapatinga,Miscellaneous Freshwater Fish
Pond loach,Miscellaneous Freshwater Fish
Pond smelt,Miscellaneous Freshwater Fish
Prochilods nei,Miscellaneous Freshwater Fish
Red claw crayfish,Miscellaneous Freshwater Fish
Red swamp crawfish,Miscellaneous Freshwater Fish
Reticulate knifefish,Miscellaneous Freshwater Fish
Rhinofishes nei,Miscellaneous Freshwater Fish
Ripon barbel,Miscellaneous Freshwater Fish
River eels,Miscellaneous Freshwater Fish
Roach,Miscellaneous Freshwater Fish
Roaches nei,Miscellaneous Freshwater Fish
Rudd,Miscellaneous Freshwater Fish
Sampa,Miscellaneous Freshwater Fish
Sawtooth caridina,Miscellaneous Freshwater Fish
Siberian sturgeon,Miscellaneous Freshwater Fish
Sichel,Miscellaneous Freshwater Fish
Signal crayfish,Miscellaneous Freshwater Fish
Silver barb,Miscellaneous Freshwater Fish
Silver perch,Miscellaneous Freshwater Fish
Snakehead,Miscellaneous Freshwater Fish
Snakeheads(=Murrels) nei,Miscellaneous Freshwater Fish
Snakeskin gourami,Miscellaneous Freshwater Fish
Sorubims nei,Miscellaneous Freshwater Fish
Spotted snakehead,Miscellaneous Freshwater Fish
Spotted sorubim,Miscellaneous Freshwater Fish
Starry sturgeon,Miscellaneous Freshwater Fish
Sterlet sturgeon,Miscellaneous Freshwater Fish
Streaked prochilod,Miscellaneous Freshwater Fish
Striped bass,Miscellaneous Freshwater Fish
"Striped bass, hybrid",Miscellaneous Freshwater Fish
Striped snakehead,Miscellaneous Freshwater Fish
Sturgeons nei,Miscellaneous Freshwater Fish
"Sturgeons, paddlefishes",Miscellaneous Freshwater Fish
"Tambacu, hybrid",Miscellaneous Freshwater Fish
"Tambatinga, hybrid",Miscellaneous Freshwater Fish
Tench,Miscellaneous Freshwater Fish
Thai mahseer,Miscellaneous Freshwater Fish
Three-spined stickleback,Miscellaneous Freshwater Fish
Tinfoil barb,Miscellaneous Freshwater Fish
Trahira,Miscellaneous Freshwater Fish
Vatani rohtee,Miscellaneous Freshwater Fish
Vimba bream,Miscellaneous Freshwater Fish
Wallago,Miscellaneous Freshwater Fish
White bream,Miscellaneous Freshwater Fish
White crappie,Miscellaneous Freshwater Fish
White sturgeon,Miscellaneous Freshwater Fish
Whitefishes nei,Miscellaneous Freshwater Fish
Wuchang bream,Miscellaneous Freshwater Fish
Yabby crayfish,Miscellaneous Freshwater Fish
Barramundi(=Giant seaperch),Miscellaneous Marine Fish
Demersal Marine Fish Frsh,Miscellaneous Marine Fish
Dorada,Miscellaneous Marine Fish
Dorado,Miscellaneous Marine Fish
Dotted gizzard shad,Miscellaneous Marine Fish
Marine crustaceans nei,Miscellaneous Marine Fish
Marine Fish Nes Fresh,Miscellaneous Marine Fish
Marine fishes,Miscellaneous Marine Fish
Miscellaneous marine crustaceans,Miscellaneous Marine Fish
Shads,Miscellaneous Marine Fish
"Shrimps, prawns",Marine Crustacean
Roho labeo,Rohu
Arctic char,Salmon
Atlantic salmon,Salmon
Chars nei,Salmon
Chinook(=Spring=King) salmon,Salmon
Chum(=Keta=Dog) salmon,Salmon
Coho(=Silver) salmon,Salmon
Masu(=Cherry) salmon,Salmon
Salmonids nei,Salmon
Salmonoids nei,Salmon
Tilapias and other cichlids,Tilapia
Brook trout,Trout
Golden trout,Trout
Miscellaneous diadromous fishes,Trout
Rainbow trout,Trout
Sea trout,Trout
Sevan trout,Trout
Trouts nei,Trout
